text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
"g
u",10,Times-Roman,,3,1
A,14,Times-Roman,,1,1
,5,Times-Roman,,0,0
"6
2",10,Times-Roman,,3,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
T,12,Times-Roman,,1,1
C,13,Times-Roman,,1,1
.,5,Times-Roman,,1,1
h,10,Times-Roman,,1,1
t,5,Times-Roman,,1,1
a,8,Times-Roman,,1,1
m,15,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
6
8
7
1
1",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"8
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
ON,9,CMBX10,,2,2
∞,9,CMSY10,,1,1
-COSMOI OF BICATEGORIES,9,CMBX10,,23,23
EMILY RIEHL AND MIRA WATTAL,7,CMR8,,27,27
Abstract.,7,CMCSC10,,9,9
An,7,CMR8,,2,2
∞,7,CMSY8,,1,1
"-cosmos is a setting in which to develop the formal category
theory of (",7,CMR8,,72,60
∞,7,CMSY8,,1,1
",",7,CMMI8,,1,1
"1)-categories. In this paper, we explore a few atypical examples
of",7,CMR8,,67,64
∞,7,CMSY8,,1,1
-cosmoi whose objects are 2-categories or bicategories rather than (,7,CMR8,,68,68
∞,7,CMSY8,,1,1
",",7,CMMI8,,1,1
"1)-
categories and compare the formal category theory that is so-encoded with",7,CMR8,,77,73
classical 2-category and bicategory theory. We hope this work will inform,7,CMR8,,73,73
future explorations into formal (,7,CMR8,,33,33
∞,7,CMSY8,,1,1
",",7,CMMI8,,1,1
2)-category theory.,7,CMR8,,19,19
Contents,9,CMCSC10,,8,8
Introduction,9,CMR10,,12,12
"1.
2.",9,CMR10,,5,2
∞,9,CMSY10,,1,1
"-cosmoi of 2-categories and bicategories
3. Formal category theory in an",9,CMR10,,72,40
∞,9,CMSY10,,1,1
