text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"Draft version January 6, 2021",7,SFCC0800,,29,29
Typeset using L,7,SFRM0800,,15,15
A,5,CMR6,,1,1
TEX,7,SFRM0800,,3,3
twocolumn,7,SFBX0800,,9,9
style in AASTeX63,7,SFRM0800,,17,17
Viewing angle eﬀects in quasar application to cosmology,9,SFBX1000,,55,55
Raj Prince,8,SFCC0900,,10,10
",",8,SFCC0900,,1,1
1,5,SFCC0600,,1,1
"Bożena Czerny ,",8,SFCC0900,,15,15
1,5,SFCC0600,,1,1
and Agnieszka Pollo,8,SFCC0900,,19,19
2,5,SFCC0600,,1,1
1,5,SFRM0600,,1,1
"Center for Theoretical Physics, Polish Academy of Sciences, Al.Lotnikow 32/46, 02-668, Warsaw, Poland",7,SFTI0800,,101,101
2,5,SFRM0600,,1,1
"National Centre for Nuclear Research, ul. Pasteura 7, 02-093 Warsaw, Poland",7,SFTI0800,,75,75
"(Received January 6, 2021)",8,SFRM0900,,26,26
Submitted to ApJ,9,SFRM1000,,16,16
ABSTRACT,9,SFRM1000,,8,8
"The symmetry axes of active galactic nuclei (AGN) are randomly distributed in space but highly
inclined sources are heavily obscured and are not seen as quasars with broad emission lines. The",9,SFRM1000,,191,96
"obscuring torus geometry determines the average viewing angle, and if the torus geometry changes with",9,SFRM1000,,101,101
"the redshift, this average viewing angle will also change. Thus the ratio between the isotropic luminosity
and observed luminosity may change systematically with redshift. Therefore, if we use quasars to
measure the luminosity distance by evaluating the isotropic absolute luminosity and measuring the
observed ﬂux, we can have a redshift-dependent bias which can propagate to cosmological parameters.
We propose a toy model for testing the eﬀect of viewing angle uncertainty on measurement of the
luminosity distance. The model is based on analytical description of the obscuring torus applied
to one-parameter observational data.
It illustrates the possible change of the torus covering factor
between the two chosen redshift ranges. We have estimated the possible error on speciﬁc cosmological
parameters (H",9,SFRM1000,,810,106
0,6,CMR7,,1,1
",",9,SFRM1000,,1,1
Ω,9,CMR10,,1,1
m,6,CMMI7,,1,1
) for the ﬂat,9,SFRM1000,,13,13
Λ,9,CMR10,,1,1
"CDM cosmology if a method is calibrated at low redshift and
applied to the higher redshift. The errors on cosmological parameters due to potential dependence
of viewing angle on redshift are found to be potentially signiﬁcant, and the eﬀect will have to be
accommodated in the future in all quasar-based cosmological methods. A careful systematic study of
AGN mean viewing angle across redshift is necessary, with the use of appropriate samples and models
which uniquely determine the inclination of each source.",9,SFRM1000,,512,99
Keywords:,9,SFTI1000,,9,9
cosmology: distance scale – galaxies: active – galaxies: general – quasars: general,9,SFRM1000,,83,83
1.,8,SFRM0900,,2,2
INTRODUCTION,9,SFRM1000,,12,12
"Quantifying the accelerated expansion of the Universe
is one of the key issues of the cosmology (for a recent",9,SFRM1000,,109,55
"reviews, see e.g. Matarrese et al. 2011; Rubin & Hayden
2016; Czerny et al. 2018). Various probes are used to
this purpose, like observations of the Cosmic Microwave
Background (CMB; Planck Collaboration et al. 2018),
Supernovae Ia (SN Ia; Riess et al. 1998, Perlmutter et al.
1999), Baryon Acoustic Oscillations (BAO; Bassett &
Hlozek 2010), gravitational lensing (Wong et al. 2020a),
or gamma-ray bursts (Schaefer 2003). Quasars, or more
generally, Active Galactic Nuclei (AGN) also joined",9,SFRM1000,,491,58
raj@cft.edu.pl,7,SFRM0800,,14,14
bcz@cft.edu.pl,7,SFRM0800,,14,14
"the class of sources with cosmological applications,
and several speciﬁc methods to use these objects were
proposed: continuum time delays (Collier et al. 1999;",9,SFRM1000,,160,53
"Cackett et al. 2007), emission line time delays (Watson
et al. 2011; Haas et al. 2011; Czerny et al. 2013), broad-
band spectral shape (nonlinear dependence between the
UV and X-ray ﬂux ,(Risaliti & Lusso 2015; Lusso et al.
2019)), virial broadening estimator studies (Franca et al.
2014; Marziani & Sulentic 2014; Marziani et al. 2020),
statistical properties of the quasar distribution reﬂecting
the large scale structure (e.g. de Carvalho et al. 2020),
and quasar strong lensing (Wong et al. 2020b).",9,SFRM1000,,502,59
Several,9,SFRM1000,,7,7
recent measurements based on diﬀerent,9,SFRM1000,,37,37
methods imply the tension between the Hubble constant,9,SFRM1000,,53,53
H,9,CMMI10,,1,1
0,6,CMR7,,1,1
"determination based on early Universe and the value
coming from the relatively local measurements (see
e.g. Riess 2019; Verde et al. 2019, for recent reviews).",9,SFRM1000,,159,56
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
n,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
4,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
"A
G",14,Times-Roman,,3,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
4
4
2
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
2,9,SFRM1000,,1,1
Prince et al.,9,SFCC1000,,13,13
"However, high accuracy of measurements is necessary,
and the control of the systematic errors is critical,
since the systematic error of 0.2 mag in the luminosity
distance is enough to eliminate the",9,SFRM1000,,198,55
H,9,CMMI10,,1,1
0,6,CMR7,,1,1
tension.,9,SFRM1000,,8,8
"The use of quasars for cosmology has important
advantages. Quasars are numerous, and they nicely
cover the broad range of redshifts,
starting from
relatively nearby AGN to redshifts of order of 7
(Mortlock et al. 2011, Bañados et al. 2018). They also do
not show strong extinction eﬀects, since bright quasars
eﬃciently clear the line of sight through the host galaxy,
and in addition the color selection allows to remove the
highly reddened minority from the sample. They also
do not seem to show evolutionary eﬀects related to the
metallicity since even high redshift quasars are metal-
rich, with solar or even super-solar abundance.
constraints",9,SFRM1000,,648,58
cosmological,9,SFRM1000,,12,12
"parameters were already very successful. Combining
the quasar method based on the broad-band spectral
shape with several other cosmological probes (Lusso
et al. 2019) showed that there is a 4",9,SFRM1000,,191,51
σ,9,CMMI10,,1,1
"tension with
the standard",9,SFRM1000,,25,12
Λ,9,CMR10,,1,1
CDM,9,CMMI10,,3,3
