text,space_num
"                                                Draft version January 5, 2021",48.0
                                                Preprint typeset using LATEX style emulateapj v. 12/16/11,48.0
                                                                              VLBI OBSERVATIONS OF SUPERNOVA PTF11QCJ:,78.0
                                                                         DIRECT CONSTRAINTS ON THE SIZE OF THE RADIO EJECTA,73.0
"                                                                                   1,*",83.0
"                                                           N. T. Palliyaguru             , A. Corsi 1 , M. Pérez-Torres 2 , E. Varenius   3,4",59.0
"                                                                                                                                                 , and H. Van Eerten5",145.0
"                                                                                                     Draft version January 5, 2021",101.0
                                                                                                     ABSTRACT,101.0
                                                         We present High Sensitivity Array (HSA) and enhanced Multi Element Remotely Linked Interfer-,57.0
                                                       ometer Network (eMERLIN) observations of the radio-loud broad-lined type Ic supernova PTF11qcj,55.0
                                                       obtained ∼ 7.5 years after the explosion. Previous observations of this supernova at 5.5 yrs since,55.0
arXiv:2101.00128v1 [astro-ph.HE] 1 Jan 2021,0.0
"                                                       explosion showed a double-peaked radio light curve accompanied by a detection in the X–rays, but",55.0
                                                       no evidence for broad Hα spectral features. The Very Long Baseline Interferometry (VLBI) obser-,55.0
                                                       vations presented here show that the PTF11qcj GHz radio ejecta remains marginally resolved at the,55.0
"                                                       sub-milliarcsecond level at ≈ 7.5 yrs after the explosion, pointing toward a non-relativistic expansion.",55.0
                                                       Our VLBI observations thus favor a scenario in which the second peak of the PTF11qcj radio light,55.0
                                                       curve is related to strong interaction of the supernova ejecta with a circumstellar medium of variable,55.0
"                                                       density, rather than to the emergence of an off–axis jet. Continued VLBI monitoring of PTF11qcj in",55.0
                                                       the radio may strengthen further this conclusion.,55.0
                                                                    1. INTRODUCTION                                   ing gun for (non-relativistic) ejecta interacting with a,68.0
"                                                Supernovae (SNe) of type Ib/c are believed to mark                    high-density CSM (e.g., Chevalier 1998; Chevalier et al.",48.0
                                              the deaths of massive stars that are stripped of their                  2004; Chevalier & Fransson 2006). Although strong CSM,46.0
"                                              hydrogen (type Ib), and possibly helium (type Ic), en-                  interaction is not commonly observed in BL-Ic SNe, a",46.0
"                                              velope before explosion (Filippenko 1997). A sub-class                  few cases exists such as SN 2007bg (Salas et al. 2013),",46.0
"                                              of Ib/c SNe dubbed broad-line (BL) Ic, estimated to                     PTF11qcj (Corsi et al. 2014; Palliyaguru et al. 2019),",46.0
"                                              constitute only ≈ 5% of the Ib/c population (Woosley                    SN2018gep (Ho et al. 2019a) and, possibly, AT2018cow",46.0
"                                              & Bloom 2006; Gal-Yam 2017), is of particular interest                  (Rivera Sandoval et al. 2018; Smartt et al. 2018; Ho et al.",46.0
                                              due to its relation to long-duration gamma-ray bursts                   2019b; Margutti et al. 2019).,46.0
"                                              (GRBs), the most relativistic stellar explosions we know                   Here, we focus on PTF11qcj, a radio-loud BL-Ic SN",46.0
                                              of in the universe (Piran 2004; Mészáros 2006). While                 extensively monitored via our approved programs on the,46.0
                                              all GRB-associated SNe are of type BL-Ic (Woosley &                     Karl G. Jansky Very Large Array (VLA; Corsi et al. 2014;,46.0
"                                              Bloom 2006; Hjorth & Bloom 2012, but see Cano et al.                    Palliyaguru et al. 2019). The extraordinary radio lumi-",46.0
"                                              (2014) for the peculiar case of SN 2013ez), not all BL-Ic               nosity of PTF11qcj (∼ 1029 erg s−1 Hz−1 ) is reminiscent",46.0
"                                              events make a GRB (e.g., Berger et al. 2003; Soderberg                  of the GRB–associated SN 1998bw (Kulkarni et al. 1998).",46.0
"                                              et al. 2006; Corsi et al. 2016). Thus, the question of what             As discussed in Corsi et al. (2014) and Palliyaguru et al.",46.0
"                                              physical ingredients enable some stripped-envelope mas-                 (2019), our radio monitoring over the first ≈ 5.5 years",46.0
"                                              sive stars to launch a relativistic jet remains open (e.g.,             since explosion has revealed an unusual double–peaked",46.0
                                              Modjaz et al. 2016).                                                    radio light curve. The radio emission observed during the,46.0
                                                As first demonstrated by the well-known case of                       first light curve peak (t . 200 d) can be modeled within,48.0
                                              SN 1998bw/GRB 980425 (Galama et al. 1998; Kulkarni                      the standard synchrotron self-absorption (SSA) model,46.0
"                                              et al. 1998), radio observations are particularly well                  for a spherical SN shock expanding in the CSM. This",46.0
                                              suited to identify those BL-Ic SNe that may harbor                      model yields an estimated speed of ≈ 0.3 − 0.5 c for the,46.0
"                                              GRBs (hereafter referred to as engine-drive SNe), since                 fastest SN ejecta (Corsi et al. 2014), placing PTF11qcj in",46.0
                                              radio synchrotron emission traces the fastest moving                    an intermediate class between “ordinary” BL-Ic SNe and,46.0
"                                              ejecta (e.g., Berger et al. 2003). At the same time, be-                engine-driven ones like SN 1998bw or SN 2009bb (Soder-",46.0
"                                              cause non-thermal radio photons are produced in the in-                 berg et al. 2010). The simple, spherically symmetric",46.0
                                              teraction of the SN shock with the circumstellar mate-                  model of SN shock interaction with a smooth CSM (sim-,46.0
"                                              rial (CSM), bright radio emission can also be the smok-                 ple power-law density profile), however, cannot explain",46.0
                                                                                                                      the second radio peak. As discussed in Palliyaguru et al.,118.0
"                                                   1 Department of Physics and Astronomy, Texas Tech Univer-          (2019), two more complex scenarios can be invoked to in-",51.0
"                                                sity, Lubbock, TX 79409-1051 (USA)                                    terpret this peculiar behavior of PTF11qcj: (i) A spheri-",48.0
                                                   ? Email: Nipuni.Palliyaguru@ttu.edu,51.0
                                                   2 Instituto de Astrofı́sica de Andalucı́a -Consejo Superior        cal SN shock going through a medium with extreme CSM,51.0
"                                                de Investigaciones Cientı́ficas (CSIC), PO Box 3004, 18008,           density variations, perhaps related to eruptive progenitor",48.0
"                                                Granada, Spain.                                                       mass loss; (ii) A radio-emitting SN shock (first peak) fol-",48.0
"                                                   3 Department of Earth and Space Sciences, Chalmers Univer-",51.0
                                                                                                                      lowed by radio emission from an emerging off-axis GRB,118.0
"                                                sity of Technology, Onsala Space Observatory, 439 92 Onsala,          jet, initially pointed away from our line of sight (second",48.0
                                                Sweden.,48.0
"                                                   4 Jodrell Bank Centre for Astrophysics, The University of          peak).",51.0
"                                                Manchester, Oxford Rd, Manchester M13 9PL, UK.                           In Palliyaguru et al. (2019) we have shown that, while",48.0
"                                                   5 Department of Physics, University of Bath, Claverton Down,",51.0
                                                                                                                      modeling of our VLA dataset within scenario (i) can in-,118.0
"                                                Bath BA2 7AY, UK",48.0
avr_spaces,55.208955223880594
