text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"Draft version January 6, 2021",7,CMCSC10,,29,29
Typeset using L,7,CMR8,,15,15
A,5,CMR6,,1,1
TEX default style in AASTeX62,7,CMR8,,29,29
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
n,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
J,7,Times-Roman,,1,1
,5,Times-Roman,,0,0
5,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
R,13,Times-Roman,,1,1
S,11,Times-Roman,,1,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"1
v
9
4
3
1
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1
2",10,Times-Roman,,7,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
"Oscillations observed in Umbra, Plage, Quiet-Sun and the Polarity Inversion Line of Active Region 11158 using
HMI/SDO Data",9,CMR10,,122,109
"A. A. Norton,",8,CMCSC10,,13,13
1,5,CMCSC10,,1,1
"R. B. Stutz,",8,CMCSC10,,12,12
1,5,CMCSC10,,1,1
and B. T. Welsch,8,CMCSC10,,16,16
2,5,CMCSC10,,1,1
1,5,CMR6,,1,1
"Stanford University, Stanford, CA, USA 94305",7,CMTI8,,44,44
2,5,CMR6,,1,1
"University of Wisconsin, Green Bay, WI, USA 54311",7,CMTI8,,49,49
"(Received October 9, 2020; Accepted October 9, 2020)",8,CMR9,,52,52
Submitted to Philisophical Transactions A (Royal Society Publishing),9,CMR10,,68,68
ABSTRACT,9,CMR10,,8,8
"Using data from the Helioseismic Magnetic Imager, we report on the amplitudes and phase relations",9,CMR10,,97,97
"of oscillations in quiet-Sun, plage, umbra and the polarity inversion line (PIL) of an active region
NOAA#11158. We employ Fourier, wavelet and cross correlation spectra analysis. Waves with 5–
minute periods are observed in umbra, PIL and plage with common phase values of",9,CMR10,,273,100
φ,9,CMMI10,,1,1
(,9,CMR10,,1,1
"v, I",9,CMMI10,,4,4
) =,9,CMR10,,3,3
π,6,CMMI7,,1,1
2,6,CMR7,,1,1
",",9,CMR10,,1,1
φ,9,CMMI10,,1,1
(,9,CMR10,,1,1
"v, B",9,CMMI10,,4,4
los,6,CMMI7,,3,3
) =,9,CMR10,,3,3
−,9,CMSY10,,1,1
π,6,CMMI7,,1,1
2,6,CMR7,,1,1
". In addition,",9,CMR10,,14,14
φ,9,CMMI10,,1,1
(,9,CMR10,,1,1
"I, B",9,CMMI10,,4,4
los,6,CMMI7,,3,3
) =,9,CMR10,,3,3
π,9,CMMI10,,1,1
"in plage are observed. These phase values are consistent
with slow standing or fast standing surface sausage wave modes. The line width variations, and their
phase relations with intensity and magnetic oscillations, show diﬀerent values within the plage and
PIL regions, which may oﬀer a way to further diﬀerentiate wave mode mechanics. Signiﬁcant Doppler
velocity oscillations are present along the PIL, meaning that plasma motion is perpendicular to the
magnetic ﬁeld lines, a signature of Alv`enic waves. A time-distance diagram along a section of the PIL
shows Eastward propagating Doppler oscillations converting into magnetic oscillations; the propagation
speeds range between 2",9,CMR10,,684,102
−,9,CMSY10,,1,1
6 km s,9,CMR10,,6,6
−,6,CMSY7,,1,1
1,6,CMR7,,1,1
". Lastly, a 3-minute wave is observed in select regions of the umbra
in the magnetogram data.",9,CMR10,,93,68
Keywords:,9,CMTI10,,9,9
"Sunspots, Waves, Magneto-hydrodynamics",9,CMR10,,38,38
1.,8,CMR9,,2,2
INTRODUCTION,9,CMR10,,12,12
"The Sun is a seething mass of plasma with a great variety of magnetic ﬁelds and electric currents being dynamically
generated and distributed throughout its layers. MHD waves, generated either by mode conversion of",9,CMR10,,214,115
p,9,CMMI10,,1,1
"-modes or
excited due to shaking of magnetic ﬂux tubes by turbulent convection and other motions, are thought to contribute to
shock heating in the chromospheric layers and, as such, are an important ingredient in heating of the upper atmosphere.
Alfv´en waves (Alfv´en 1947) are the least impeded of the MHD waves since they are not reﬂected by pressure gradients",9,CMR10,,364,119
"and therefore may reach the corona before dissipating (Mathioudakis et al. 2013) and may play a role in the acceleration
of the solar wind.",9,CMR10,,139,120
"It is certain that magnetic ﬂux tubes in the solar atmosphere host MHD waves because theory indicates there is
no such thing as a pure acoustic wave in a magnetized plasma (Cally 2005) and also because local helioseismology
shows that acoustic shadows exist downstream from sunspots (Braun et al. 1987; Braun & Birch 2008), meaning that
strong magnetic ﬁelds decrease the amount of acoustic wave power outgoing horizontally from the region of strong
ﬁeld compared to the acoustic wave power that was observed as incoming. This decrease in acoustic wave power is
explained by conversion of acoustic waves into upward or downward propagating MHD waves.",9,CMR10,,650,112
"In addition to observing a decrease in acoustic wave power exiting strong magnetic structures, local helioseismology
techniques record time-travel changes in waves as they pass through magnetic regions. The changes in the travel times",9,CMR10,,234,117
"and phase shifts are caused by variations of the sound speed, sub-surface ﬂows and magnetic properties of the medium",9,CMR10,,116,116
"Corresponding author: A. A. Norton
AANorton@sStanford.EDU",7,CMR8,,57,34
2,9,CMR10,,1,1
"through which the waves propagate, although it is diﬃcult to diﬀerentiate the changes caused by each property (Werne
et al. 2004). Mode conversion of acoustic waves into MHD waves can introduce phase shifts, too. Numerical modeling
indicates that fast magnetic waves are created after acoustic waves are converted at the",9,CMR10,,320,116
β,9,CMMI10,,1,1
"= 1 layer (Schunker & Cally
2006). The fast magnetic waves are either reﬂected downward due to the gradient in the Alfv´en speed (Khomenko
& Collados 2006) or converted into upward and downward traveling Alfv´en waves (Felipe 2012; Khomenko & Cally
2012).",9,CMR10,,255,110
"MHD waves contain oscillations in the magnetic ﬁeld magnitude or direction, so one way to conﬁrm their presence
is to observe a time varying component of either. This is not the only way to conﬁrm an MHD wave, though, since
area oscillations (Grant et al. 2015) and spectral line width oscillationsv(Jess et al. 2009) have been used in tandem
with intensity and velocity oscillations to conﬁrm the presence of MHD waves. Conﬁdent detection of magnetic ﬁeld
oscillations is an observational challenge with reports of amplitudes being low, i.e., an upper amplitude of 4 Gauss as
observed with the Advanced Stokes Polarimeter in sunspot ﬁeld strengths for 5 minute oscillations (Lites et al. 1998),
6 Gauss in umbral regions R¨uedi et al. (1998), 7",9,CMR10,,745,119
−,9,CMSY10,,1,1
"11 Gauss in umbra using an infrared lineBellot Rubio et al. (2000)
with only a portion of this amplitude being due to magnetoacoustic waves (Khomenko et al. 2003), 4",9,CMR10,,165,98
−,9,CMSY10,,1,1
"17 Gauss in
pores and network (Fujimura & Tsuneta 2009), and 20 Gauss in magnetic ﬂux oscillations as estimated by Kanoh et al.
(2016) in a study using Hinode SP observations, among other reports in the literature that conﬁrm small amplitudes
for",9,CMR10,,246,115
δ,9,CMMI10,,1,1
B. Such small wave amplitudes do not imply that the waves carry only small amounts of energy as the energy,9,CMR10,,106,106
"ﬂux of an MHD wave is proportional to the original ﬁeld strength, B, times the oscillating components,",9,CMR10,,102,102
δ,9,CMMI10,,1,1
B and,9,CMR10,,5,5
δ,9,CMMI10,,1,1
"v, as
described by the Poynting vector.",9,CMR10,,39,33
"In addition to searching for oscillations in the magnetic ﬁeld, phase relations between diﬀerent quantities are often
used to interpret the oscillations as speciﬁc wave modes. This was outlined and observed by Ulrich (1996) for mag-
netic ﬂux and Doppler velocity at diﬀerent positions on the solar disk and further studied by Norton et al. (2001);
Norton & Ulrich (2000). The observed phases may also indicate that instrumental cross talk (Settele et al. 2002) or
opacity ﬂuctuations sampling the vertical magnetic gradient (Bellot Rubio et al. 2000; Norton & Uitenbroek 2002) are
responsible for the periodic signal instead of MHD waves, although it should be noted that opacity ﬂuctuations are
themselves a signature of waves. A more recent development of expected phases for photospheric mode identiﬁcation
was provided for",9,CMR10,,827,117
B,9,CMMI10,,1,1
los,6,CMMI7,,3,3
", Doppler velocity and intensity for observations at a single atmospheric height by Moreels &
Van Doorsselaere (2013). Oscillations observed in pores, their area and intensity, with resulting phase relations, show
upward propagating sausage modes as surface modes (Grant et al. 2015), and this work was furthered by Keys et al.
(2018), who concludes that surface waves are more prevalent than body waves in pores. Multi-height studies by Stan-
galini et al. (2018) used circular polarization and intensity oscillations at the umbra-penumbra boundary to detect
surface modes. Kanoh et al. (2016) found evidence of standing slow-mode waves in the umbra with Hinode SP data
based on phase analysis. Phase studies, both at single heights between diﬀerent observables and at multiple heights,
have been successful in identifying waves modes and characteristics.",9,CMR10,,856,119
"As the solar atmosphere is highly stratiﬁed, many waves are not capable of travelling into the outer atmosphere
as they are reﬂected by density gradients, but magnetic ﬁelds and radiative losses allow more wave power to travel
than originally thought.
In general, waves in the quiet-Sun with frequencies less than the cutoﬀ frequency of 5.2
mHz are considered trapped in or below the photosphere as resonant or standing waves. However, in the presence of",9,CMR10,,454,114
"magnetic ﬁelds, the acoustic cut-oﬀ frequency in the photosphere is reduced due to temperature and density diﬀerences
compared to the quiet-Sun. The cutoﬀ frequency can be further reduced either by the inclination of the magnetic ﬁeld
with respect to the solar surface, by a factor of cos",9,CMR10,,288,117
θ,9,CMMI10,,1,1
where,9,CMR10,,5,5
θ,9,CMMI10,,1,1
"is the inclination (Bel & Leroy 1977), or by radiative
losses in thin vertical ﬂux tubes such as faculae (Centeno et al. 2009; Khomenko et al. 2008). Cutoﬀ frequencies in
umbra and pores are on the order of",9,CMR10,,206,115
∼,9,CMSY10,,1,1
"4 mHz and those in smaller magnetic structures that suﬀer signiﬁcant radiative
losses can be as low as 2 mHz, although recent numerical simulations (Felipe & Sangeetha 2020) show that the cutoﬀ
frequencies in thin structures do not get quite that low. The exact reduction of cutoﬀ frequencies due to radiative
losses in magnetic structures is still an open question. The vertical gradients in the transition region oﬀer another
hindrance to wave propagation further into the corona. However, observed photospheric power in frequencies higher
than the cutoﬀ frequency can be considered part of the wave ﬂux budget available to the chromosphere.",9,CMR10,,643,117
"Importantly, the work by Centeno et al. (2006, 2009), who studied diﬀerent types of solar structures (large and small
sunspots, a pore and faculae region) at photospheric and chromospheric heights, showed that ”while the atmospheric
cutoﬀ frequency and the propagation properties of diﬀerent oscillating modes depend on the magnetic feature, in all the
cases the power that reaches the high chromosphere above the atmospheric cutoﬀ comes directly from the photosphere",9,CMR10,,467,119
3,9,CMR10,,1,1
Figure 1.,8,CMBX9,,9,9
"NOAA AR 11158 (HMI Active Region Patch 377) is shown for 9:00 UT on 16 February 2011. The panels are the
continuum intensity (upper left), total ﬁeld strength (upper right), the inclination angle relative to the line of sight (lower left)
with ﬁeld directed toward the observer shown in blue, transverse ﬁeld in white, and ﬁeld directed away from the observer in
red, and azimuth angle (lower right) adjusted to give the angle relative to the direction of rotation (i.e.west). Only pixels above
a 250 Mx cm",8,CMR9,,506,133
−,5,CMSY6,,1,1
2,5,CMR6,,1,1
threshold are plotted.,8,CMR9,,22,22
