text,space_num,symbolic_percent,space_percent,num_world,num_columns,front_spaces_perc,back_spaces
"                                              MNRAS 000, 1–8 (2020)                                                 Preprint 6 January 2021                  Compiled using MNRAS LATEX style file v3.0",46.0,0.37185929648241206,0.6281407035175879,15.0,34.0,0.17490494296577946,0.2433460076045627
                                              Distinct High Energy Cutoff Variation Patterns in Two Seyfert Galaxies,46.0,0.5258620689655172,0.47413793103448276,10.0,1.0,0.17490494296577946,0.55893536121673
"                                              Jia-Lai Kang,1,2★ Jun-Xian Wang,1,2 † Wen-Yong Kang1,2",46.0,0.48,0.52,7.0,1.0,0.17490494296577946,0.6197718631178708
"                                              1 CAS   Key Laboratory for Research in Galaxies and Cosmology, Department of Astronomy, University of Science and Technology of China, Hefei, Anhui 230026, China",46.0,0.6570048309178744,0.3429951690821256,24.0,2.0,0.17490494296577946,0.21292775665399244
"                                              2 School  of Astronomy and Space Science, University of Science and Technology of China, Hefei 230026, China",46.0,0.5909090909090909,0.40909090909090906,17.0,2.0,0.17490494296577946,0.4144486692015209
                                              Accepted 2021 January 4. Received 2020 December 22; in original form 2020 September 29,46.0,0.553030303030303,0.446969696969697,14.0,1.0,0.17490494296577946,0.4980988593155894
arXiv:2101.01497v1 [astro-ph.HE] 5 Jan 2021,0.0,0.9069767441860465,0.09302325581395354,5.0,1.0,0.0,0.8365019011406845
                                              ABSTRACT,46.0,0.14814814814814814,0.8518518518518519,1.0,1.0,0.17490494296577946,0.7946768060836502
                                              Investigating how the cutoff energy 𝐸 cut varies with X-ray flux and photon index Γ in individual AGNs opens a new window,46.0,0.5988023952095808,0.4011976047904192,22.0,1.0,0.17490494296577946,0.3650190114068441
                                              to probe the yet unclear coronal physics. So far 𝐸 cut variations have only been detected in several AGNs but different patterns,46.0,0.6149425287356322,0.38505747126436785,22.0,1.0,0.17490494296577946,0.33840304182509506
                                              have been reported. Here we report new detections of 𝐸 cut variations in two Seyfert galaxies with multiple NuSTAR exposures.,46.0,0.6198830409356725,0.3801169590643275,20.0,1.0,0.17490494296577946,0.34980988593155893
"                                              While in NGC 3227 𝐸 cut monotonically increases with Γ, the 𝐸 cut –Γ relation exhibits a Λ shape in SWIFT J2127.4+5654 (𝐸 cut",46.0,0.5964912280701754,0.4035087719298246,24.0,1.0,0.17490494296577946,0.34980988593155893
"                                              increasing with Γ at Γ . 2.05, but reversely decreasing at Γ & 2.05), indicating more than a single underlying mechanism is",46.0,0.6035502958579881,0.39644970414201186,22.0,1.0,0.17490494296577946,0.35741444866920147
"                                              involved. Meanwhile both galaxies show softer spectra while they brighten in X-ray, a common phenomenon in Seyfert galaxies.",46.0,0.6294117647058823,0.37058823529411766,18.0,1.0,0.17490494296577946,0.35361216730038025
"                                              Plotting all 7 AGNs with 𝐸 cut variations ever reported with NuSTAR observations in the 𝐸 cut –Γ diagram, we find they could be",46.0,0.6011560693641619,0.3988439306358381,24.0,1.0,0.17490494296577946,0.3422053231939164
                                              unified with the Λ pattern. Although the sample is small and SWIFT J2127.4+5654 is the only source with Γ varying across the,46.0,0.6058823529411764,0.3941176470588236,22.0,1.0,0.17490494296577946,0.35361216730038025
"                                              break point thus the only one exhibiting the complete Λ pattern in a single source, the discoveries shed new light on the coronal",46.0,0.6114285714285714,0.38857142857142857,23.0,1.0,0.17490494296577946,0.33460076045627374
                                              physics in AGNs. Possible underlying physical mechanisms are discussed.,46.0,0.5384615384615384,0.46153846153846156,9.0,1.0,0.17490494296577946,0.5551330798479088
                                              Key words: Galaxies: active – Galaxies: nuclei – X-rays: galaxies,46.0,0.5045045045045045,0.49549549549549554,10.0,1.0,0.17490494296577946,0.5779467680608366
"                                              1 INTRODUCTION                                                                 ior along with the conventional “softer-when-brighter” pattern (e.g.,",46.0,0.3865979381443299,0.6134020618556701,10.0,33.0,0.17490494296577946,0.2623574144486692
                                                                                                                             Markowitz et al. 2003; Sobolewska & Papadakis 2009). Possible un-,125.0,0.29473684210526313,0.7052631578947368,10.0,1.0,0.4752851711026616,0.2775665399239544
                                              In the standard disc-corona paradigm the hard X-ray emission of,46.0,0.4954128440366973,0.5045871559633027,10.0,1.0,0.17490494296577946,0.5855513307984791
                                                                                                                             derlying mechanisms have been discussed in Zhang et al. (2018) and,125.0,0.2931937172774869,0.7068062827225131,11.0,1.0,0.4752851711026616,0.2737642585551331
                                              active galactic nuclei (AGNs) is produced in a hot and compact,46.0,0.48148148148148145,0.5185185185185186,11.0,1.0,0.17490494296577946,0.5893536121673004
"                                                                                                                             Wu et al. (2020), including geometrical changes of the corona and",125.0,0.2894736842105263,0.7105263157894737,11.0,1.0,0.4752851711026616,0.2775665399239544
"                                              region, the so called corona (e.g. Haardt & Maraschi 1991; Haardt",46.0,0.4954954954954955,0.5045045045045045,11.0,1.0,0.17490494296577946,0.5779467680608366
                                                                                                                             pair production. Do Seyfert galaxies universally follow this “hotter-,125.0,0.31443298969072164,0.6855670103092784,9.0,1.0,0.4752851711026616,0.2623574144486692
"                                              et al. 1994), through the inverse Compton scattering of the seed",46.0,0.4909090909090909,0.509090909090909,11.0,1.0,0.17490494296577946,0.5817490494296578
                                                                                                                             when-softer/brighter” pattern? A possible counter-example is the,125.0,0.30687830687830686,0.6931216931216931,7.0,1.0,0.4752851711026616,0.28136882129277563
                                              photons from the accretion disk. This process could produce the,46.0,0.4954128440366973,0.5045871559633027,10.0,1.0,0.17490494296577946,0.5855513307984791
"                                                                                                                             narrow line Seyfert 1 galaxy (NLS1) Ark 564, for which Barua et al.",125.0,0.2864583333333333,0.7135416666666667,13.0,1.0,0.4752851711026616,0.26996197718631176
                                              observed power law continuum with a high-energy cutoff. Such a,46.0,0.49074074074074076,0.5092592592592593,10.0,1.0,0.17490494296577946,0.5893536121673004
                                                                                                                             (2020) found cooler corona (though statistically marginal) during the,125.0,0.31443298969072164,0.6855670103092784,9.0,1.0,0.4752851711026616,0.2623574144486692
                                              cutoff has been detected in a number of AGNs (Zdziarski et al.,46.0,0.4722222222222222,0.5277777777777778,12.0,1.0,0.17490494296577946,0.5893536121673004
                                                                                                                             softer and brighter phases within a 200 ks NuSTAR observation.,125.0,0.28342245989304815,0.7165775401069518,10.0,1.0,0.4752851711026616,0.2889733840304183
"                                              2000; Molina et al. 2013), particularly with the high-quality hard",46.0,0.5089285714285714,0.4910714285714286,10.0,1.0,0.17490494296577946,0.5741444866920152
                                                                                                                                In this letter we report new detections of 𝐸 cut variations in two,128.0,0.27835051546391754,0.7216494845360825,13.0,1.0,0.4866920152091255,0.2623574144486692
"                                              X-ray spectra of NuSTAR (e.g., Matt et al. 2015; Tortosa et al. 2018;",46.0,0.4956521739130435,0.5043478260869565,13.0,1.0,0.17490494296577946,0.5627376425855513
"                                                                                                                             Seyfert galaxies, NGC 3227 and SWIFT J2127.4+5654, and a Λ",125.0,0.2677595628415301,0.7322404371584699,10.0,1.0,0.4752851711026616,0.30418250950570347
"                                              Molina et al. 2019; Kang et al. 2020), providing key constraints on",46.0,0.49557522123893805,0.504424778761062,12.0,1.0,0.17490494296577946,0.5703422053231939
                                                                                                                             shaped 𝐸 cut –Γ relation for the first time. §2 presents the NuSTAR ob-,125.0,0.29591836734693877,0.7040816326530612,14.0,1.0,0.4752851711026616,0.2547528517110266
                                              the yet unclear coronal physics (e.g. Fabian et al. 2015).,46.0,0.47115384615384615,0.5288461538461539,10.0,1.0,0.17490494296577946,0.6045627376425855
                                                                                                                             servations and data reduction. In §3 we describe the spectral models,125.0,0.3005181347150259,0.6994818652849741,11.0,1.0,0.4752851711026616,0.26615969581749055
                                                 The Nuclear Spectroscopic Telescope Array (NuSTAR Harrison,49.0,0.48598130841121495,0.514018691588785,7.0,1.0,0.18631178707224336,0.5931558935361216
                                                                                                                             and deliver the fitting results. In §4 we discuss the spectral variabil-,125.0,0.3096446700507614,0.6903553299492386,12.0,1.0,0.4752851711026616,0.25095057034220536
                                              et al. 2013) also enables the detection of 𝐸 cut (or coronal temperature,46.0,0.5084745762711864,0.4915254237288136,13.0,1.0,0.17490494296577946,0.5513307984790874
                                                                                                                             ities and the underlying mechanisms for AGNs with reported 𝐸 cut,125.0,0.2857142857142857,0.7142857142857143,11.0,1.0,0.4752851711026616,0.28136882129277563
